,date,price,symbol,volume
0,2020-01-03,297.43,AAPL,36587788
1,2020-01-02,300.35,AAPL,33481895
2,2019-12-31,293.65,AAPL,25247625
3,2019-12-30,291.52,AAPL,36059614
4,2019-12-27,289.8,AAPL,36592936
5,2019-12-26,289.91,AAPL,23334004
6,2019-12-24,284.27,AAPL,12119714
7,2019-12-23,284.0,AAPL,24677883
8,2019-12-20,279.44,AAPL,69032743
9,2019-12-19,280.02,AAPL,24626947
10,2019-12-18,279.74,AAPL,29024687
11,2019-12-17,280.41,AAPL,28575798
12,2019-12-16,279.86,AAPL,32081105
13,2019-12-13,275.15,AAPL,33432806
14,2019-12-12,271.46,AAPL,34437042
15,2019-12-11,270.77,AAPL,19723391
16,2019-12-10,268.48,AAPL,22632383
17,2019-12-09,266.92,AAPL,32182645
18,2019-12-06,270.71,AAPL,26547493
19,2019-12-05,265.58,AAPL,18661343
20,2019-12-04,261.74,AAPL,16810388
21,2019-12-03,259.45,AAPL,29377268
22,2019-12-02,264.16,AAPL,23693550
23,2019-11-29,267.25,AAPL,11654363
24,2019-11-27,267.84,AAPL,16386122
25,2019-11-26,264.29,AAPL,26334882
26,2019-11-25,266.37,AAPL,21029517
27,2019-11-22,261.78,AAPL,16331263
28,2019-11-21,262.01,AAPL,30348778
29,2019-11-20,263.19,AAPL,26609919
30,2019-11-19,266.29,AAPL,19069597
31,2019-11-18,267.1,AAPL,21700897
32,2019-11-15,265.76,AAPL,25093666
33,2019-11-14,262.64,AAPL,22395556
34,2019-11-13,264.47,AAPL,25817593
35,2019-11-12,261.96,AAPL,21847226
36,2019-11-11,262.2,AAPL,20507459
37,2019-11-08,260.14,AAPL,17520495
38,2019-11-07,259.43,AAPL,23735083
39,2019-11-06,257.24,AAPL,18966124
40,2019-11-05,257.13,AAPL,19974427
41,2019-11-04,257.5,AAPL,25817952
42,2019-11-01,255.82,AAPL,37781334
43,2019-10-31,248.76,AAPL,34790520
44,2019-10-30,243.26,AAPL,31130522
45,2019-10-29,243.29,AAPL,35709867
46,2019-10-28,249.05,AAPL,23655368
47,2019-10-25,246.58,AAPL,18369296
48,2019-10-24,243.58,AAPL,17916255
49,2019-10-23,243.18,AAPL,19932545
50,2019-10-22,239.96,AAPL,22684001
51,2019-10-21,240.51,AAPL,21811567
52,2019-10-18,236.41,AAPL,24248023
53,2019-10-17,235.28,AAPL,17272897
54,2019-10-16,234.37,AAPL,19286694
55,2019-10-15,235.32,AAPL,23040483
56,2019-10-14,235.87,AAPL,24413484
57,2019-10-11,236.21,AAPL,41990210
58,2019-10-10,230.09,AAPL,28962984
59,2019-10-09,227.03,AAPL,19029424
60,2019-10-08,224.4,AAPL,29282700
61,2019-10-07,227.06,AAPL,30889269
62,2019-10-04,227.01,AAPL,34755553
63,2019-10-03,220.82,AAPL,30352686
64,2019-10-02,218.96,AAPL,35767257
65,2019-10-01,224.59,AAPL,36187163
66,2019-09-30,223.97,AAPL,26318583
67,2019-09-27,218.82,AAPL,25361285
68,2019-09-26,219.89,AAPL,19088312
69,2019-09-25,221.03,AAPL,22481006
70,2019-09-24,217.68,AAPL,31434367
71,2019-09-23,218.72,AAPL,19419648
72,2019-09-20,217.73,AAPL,57977094
73,2019-09-19,220.96,AAPL,22187876
74,2019-09-18,222.77,AAPL,25643093
75,2019-09-17,220.7,AAPL,18386468
76,2019-09-16,219.9,AAPL,21158141
77,2019-09-13,218.75,AAPL,39763296
78,2019-09-12,223.085,AAPL,32226669
79,2019-09-11,223.59,AAPL,44289646
80,2019-09-10,216.7,AAPL,31777931
81,2019-09-09,214.17,AAPL,27309401
82,2019-09-06,213.26,AAPL,19362294
83,2019-09-05,213.28,AAPL,23946984
84,2019-09-04,209.19,AAPL,19216820
85,2019-09-03,205.7,AAPL,20059574
86,2019-08-30,208.74,AAPL,21162561
87,2019-08-29,209.01,AAPL,21007652
88,2019-08-28,205.53,AAPL,15957632
89,2019-08-27,204.16,AAPL,25897344
90,2019-08-26,206.49,AAPL,26066130
91,2019-08-23,202.64,AAPL,46882843
92,2019-08-22,212.46,AAPL,22267819
93,2019-08-21,212.64,AAPL,21564747
94,2019-08-20,210.36,AAPL,26919529
95,2019-08-19,210.35,AAPL,24431915
96,2019-08-16,206.5,AAPL,28813624
97,2019-08-15,201.74,AAPL,27883363
98,2019-08-14,202.75,AAPL,36547443
99,2019-08-13,208.97,AAPL,47539786
100,2019-08-12,200.48,AAPL,22481889
101,2019-08-09,200.99,AAPL,24619746
102,2019-08-08,203.43,AAPL,27009523
103,2019-08-07,199.04,AAPL,33364400
104,2019-08-06,197.0,AAPL,35824787
105,2019-08-05,193.34,AAPL,52392969
106,2019-08-02,204.02,AAPL,40862122
107,2019-08-01,208.43,AAPL,54017922
108,2019-07-31,213.04,AAPL,69281361
109,2019-07-30,208.78,AAPL,33935718
110,2019-07-29,209.68,AAPL,21673389
111,2019-07-26,207.74,AAPL,17618874
112,2019-07-25,207.02,AAPL,13909535
113,2019-07-24,208.67,AAPL,14991567
114,2019-07-23,208.84,AAPL,18355210
115,2019-07-22,207.22,AAPL,22277932
116,2019-07-19,202.59,AAPL,20929307
117,2019-07-18,205.66,AAPL,18582161
118,2019-07-17,203.35,AAPL,14107450
119,2019-07-16,204.5,AAPL,16866816
120,2019-07-15,205.21,AAPL,16947420
121,2019-07-12,203.3,AAPL,17595212
122,2019-07-11,201.75,AAPL,20191842
123,2019-07-10,203.23,AAPL,17897138
124,2019-07-09,201.24,AAPL,20578015
125,2019-07-08,200.02,AAPL,25338628
126,2019-07-05,204.23,AAPL,17265518
127,2019-07-03,204.41,AAPL,11362045
128,2019-07-02,202.73,AAPL,16935217
129,2019-07-01,201.55,AAPL,27316739
130,2019-06-28,197.92,AAPL,31110642
131,2019-06-27,199.74,AAPL,20899717
132,2019-06-26,199.8,AAPL,26067512
133,2019-06-25,195.57,AAPL,21070334
134,2019-06-24,198.58,AAPL,18220421
135,2019-06-21,198.78,AAPL,47800589
136,2019-06-20,199.46,AAPL,21513988
137,2019-06-19,197.87,AAPL,21124235
138,2019-06-18,198.45,AAPL,26551004
139,2019-06-17,193.89,AAPL,14669144
140,2019-06-14,192.74,AAPL,18761474
141,2019-06-13,194.15,AAPL,21674625
142,2019-06-12,194.19,AAPL,18253189
143,2019-06-11,194.81,AAPL,26932882
144,2019-06-10,192.58,AAPL,26220851
145,2019-06-07,190.15,AAPL,30684393
146,2019-06-06,185.22,AAPL,22526311
147,2019-06-05,182.54,AAPL,29773427
148,2019-06-04,179.64,AAPL,30967961
149,2019-06-03,173.3,AAPL,40396069
150,2019-05-31,175.07,AAPL,27043584
151,2019-05-30,178.3,AAPL,21218412
152,2019-05-29,177.38,AAPL,28481165
153,2019-05-28,178.23,AAPL,27948160
154,2019-05-24,178.97,AAPL,23714686
155,2019-05-23,179.66,AAPL,36529736
156,2019-05-22,182.78,AAPL,29748556
157,2019-05-21,186.6,AAPL,28364848
158,2019-05-20,183.09,AAPL,38612290
159,2019-05-17,189.0,AAPL,32879090
160,2019-05-16,190.08,AAPL,33031364
161,2019-05-15,190.92,AAPL,26544718
162,2019-05-14,188.66,AAPL,36529677
163,2019-05-13,185.72,AAPL,57430623
164,2019-05-10,197.18,AAPL,41208712
165,2019-05-09,200.72,AAPL,34908607
166,2019-05-08,202.9,AAPL,26339504
167,2019-05-07,202.86,AAPL,38763698
168,2019-05-06,208.48,AAPL,32443113
169,2019-05-03,211.75,AAPL,20892378
170,2019-05-02,209.15,AAPL,31996324
171,2019-05-01,210.52,AAPL,64827328
172,2019-04-30,200.67,AAPL,46534923
173,2019-04-29,204.61,AAPL,22204716
174,2019-04-26,204.3,AAPL,18649102
175,2019-04-25,205.28,AAPL,18543206
